R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 60.000, 75.000, 455.000, 237.000, 134.000
70.000, 1.000, 60.000, 80.000, 455.000, 236.000, 134.000
70.000, 1.000, 60.000, 85.000, 455.000, 236.000, 134.000
70.000, 1.000, 60.000, 90.000, 455.000, 236.000, 134.000
70.000, 1.000, 60.000, 100.000, 455.000, 235.000, 134.000
70.000, 1.000, 60.000, 200.000, 454.000, 219.000, 135.000
70.000, 1.000, 60.000, 700.000, 445.000, 156.000, 144.000
70.000, 1.000, 65.000, 1.000, 455.000, 234.000, 134.000
70.000, 1.000, 65.000, 10.000, 455.000, 234.000, 134.000
70.000, 1.000, 65.000, 20.000, 455.000, 233.000, 134.000
70.000, 1.000, 65.000, 30.000, 455.000, 233.000, 134.000
70.000, 1.000, 65.000, 40.000, 455.000, 232.000, 134.000
70.000, 1.000, 65.000, 50.000, 455.000, 232.000, 134.000
70.000, 1.000, 65.000, 60.000, 455.000, 230.000, 134.000
70.000, 1.000, 65.000, 70.000, 455.000, 230.000, 134.000
70.000, 1.000, 65.000, 75.000, 455.000, 230.000, 134.000
70.000, 1.000, 65.000, 80.000, 455.000, 229.000, 134.000
70.000, 1.000, 65.000, 85.000, 455.000, 229.000, 134.000
70.000, 1.000, 65.000, 90.000, 455.000, 229.000, 134.000
70.000, 1.000, 65.000, 100.000, 455.000, 228.000, 134.000
70.000, 1.000, 65.000, 200.000, 454.000, 213.000, 135.000
70.000, 1.000, 65.000, 700.000, 445.000, 153.000, 144.000
70.000, 1.000, 70.000, 1.000, 455.000, 228.000, 134.000
70.000, 1.000, 70.000, 10.000, 455.000, 228.000, 134.000
70.000, 1.000, 70.000, 20.000, 455.000, 227.000, 134.000
70.000, 1.000, 70.000, 30.000, 455.000, 227.000, 134.000
70.000, 1.000, 70.000, 40.000, 455.000, 227.000, 134.000
70.000, 1.000, 70.000, 50.000, 455.000, 227.000, 134.000
70.000, 1.000, 70.000, 60.000, 455.000, 225.000, 134.000
70.000, 1.000, 70.000, 70.000, 455.000, 225.000, 134.000
70.000, 1.000, 70.000, 75.000, 455.000, 225.000, 134.000
70.000, 1.000, 70.000, 80.000, 455.000, 224.000, 134.000
70.000, 1.000, 70.000, 85.000, 455.000, 224.000, 134.000
70.000, 1.000, 70.000, 90.000, 455.000, 224.000, 134.000
70.000, 1.000, 70.000, 100.000, 455.000, 223.000, 134.000
70.000, 1.000, 70.000, 200.000, 454.000, 211.000, 135.000
70.000, 1.000, 70.000, 700.000, 445.000, 152.000, 144.000
70.000, 1.000, 75.000, 1.000, 454.000, 221.000, 135.000
70.000, 1.000, 75.000, 10.000, 454.000, 221.000, 135.000
70.000, 1.000, 75.000, 20.000, 454.000, 220.000, 135.000
70.000, 1.000, 75.000, 30.000, 454.000, 220.000, 135.000
70.000, 1.000, 75.000, 40.000, 454.000, 220.000, 135.000
70.000, 1.000, 75.000, 50.000, 454.000, 220.000, 135.000
70.000, 1.000, 75.000, 60.000, 454.000, 218.000, 135.000
70.000, 1.000, 75.000, 70.000, 454.000, 218.000, 135.000
70.000, 1.000, 75.000, 75.000, 454.000, 218.000, 135.000
70.000, 1.000, 75.000, 80.000, 454.000, 217.000, 135.000
70.000, 1.000, 75.000, 85.000, 454.000, 217.000, 135.000
70.000, 1.000, 75.000, 90.000, 454.000, 217.000, 135.000
70.000, 1.000, 75.000, 100.000, 454.000, 216.000, 135.000
70.000, 1.000, 75.000, 200.000, 453.000, 204.000, 136.000
70.000, 1.000, 75.000, 700.000, 444.000, 148.000, 145.000
70.000, 1.000, 80.000, 1.000, 453.000, 210.000, 136.000
70.000, 1.000, 80.000, 10.000, 453.000, 210.000, 136.000
70.000, 1.000, 80.000, 20.000, 453.000, 210.000, 136.000
70.000, 1.000, 80.000, 30.000, 453.000, 210.000, 136.000
70.000, 1.000, 80.000, 40.000, 453.000, 210.000, 136.000
70.000, 1.000, 80.000, 50.000, 453.000, 210.000, 136.000
70.000, 1.000, 80.000, 60.000, 453.000, 208.000, 136.000
70.000, 1.000, 80.000, 70.000, 453.000, 208.000, 136.000
70.000, 1.000, 80.000, 75.000, 453.000, 208.000, 136.000
70.000, 1.000, 80.000, 80.000, 453.000, 207.000, 136.000
70.000, 1.000, 80.000, 85.000, 453.000, 207.000, 136.000
