R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 60.000, 1.000, 17843.000, 9910.000, 33898.000
70.000, 1.000, 60.000, 10.000, 17843.000, 9908.000, 33898.000
70.000, 1.000, 60.000, 20.000, 17837.000, 9836.000, 33904.000
70.000, 1.000, 60.000, 30.000, 17831.000, 9762.000, 33910.000
70.000, 1.000, 60.000, 40.000, 17826.000, 9680.000, 33915.000
70.000, 1.000, 60.000, 50.000, 17819.000, 9562.000, 33922.000
70.000, 1.000, 60.000, 60.000, 17807.000, 9428.000, 33934.000
70.000, 1.000, 60.000, 70.000, 17792.000, 9332.000, 33949.000
70.000, 1.000, 60.000, 75.000, 17784.000, 9289.000, 33957.000
70.000, 1.000, 60.000, 80.000, 17772.000, 9222.000, 33969.000
70.000, 1.000, 60.000, 85.000, 17761.000, 9179.000, 33980.000
70.000, 1.000, 60.000, 90.000, 17745.000, 9130.000, 33996.000
70.000, 1.000, 60.000, 100.000, 17723.000, 9042.000, 34018.000
70.000, 1.000, 60.000, 200.000, 17397.000, 8082.000, 34344.000
70.000, 1.000, 60.000, 700.000, 15830.000, 5223.000, 35911.000
70.000, 1.000, 65.000, 1.000, 17739.000, 9495.000, 34002.000
70.000, 1.000, 65.000, 10.000, 17739.000, 9493.000, 34002.000
70.000, 1.000, 65.000, 20.000, 17733.000, 9430.000, 34008.000
70.000, 1.000, 65.000, 30.000, 17728.000, 9361.000, 34013.000
70.000, 1.000, 65.000, 40.000, 17723.000, 9282.000, 34018.000
70.000, 1.000, 65.000, 50.000, 17716.000, 9175.000, 34025.000
70.000, 1.000, 65.000, 60.000, 17704.000, 9055.000, 34037.000
70.000, 1.000, 65.000, 70.000, 17690.000, 8967.000, 34051.000
70.000, 1.000, 65.000, 75.000, 17682.000, 8928.000, 34059.000
70.000, 1.000, 65.000, 80.000, 17671.000, 8869.000, 34070.000
70.000, 1.000, 65.000, 85.000, 17661.000, 8832.000, 34080.000
70.000, 1.000, 65.000, 90.000, 17646.000, 8788.000, 34095.000
70.000, 1.000, 65.000, 100.000, 17624.000, 8706.000, 34117.000
70.000, 1.000, 65.000, 200.000, 17307.000, 7798.000, 34434.000
70.000, 1.000, 65.000, 700.000, 15774.000, 5079.000, 35967.000
70.000, 1.000, 70.000, 1.000, 17626.000, 9015.000, 34115.000
70.000, 1.000, 70.000, 10.000, 17626.000, 9013.000, 34115.000
70.000, 1.000, 70.000, 20.000, 17621.000, 8958.000, 34120.000
70.000, 1.000, 70.000, 30.000, 17616.000, 8895.000, 34125.000
70.000, 1.000, 70.000, 40.000, 17612.000, 8827.000, 34129.000
70.000, 1.000, 70.000, 50.000, 17606.000, 8727.000, 34135.000
70.000, 1.000, 70.000, 60.000, 17596.000, 8618.000, 34145.000
70.000, 1.000, 70.000, 70.000, 17582.000, 8536.000, 34159.000
70.000, 1.000, 70.000, 75.000, 17574.000, 8502.000, 34167.000
70.000, 1.000, 70.000, 80.000, 17563.000, 8450.000, 34178.000
70.000, 1.000, 70.000, 85.000, 17554.000, 8418.000, 34187.000
70.000, 1.000, 70.000, 90.000, 17540.000, 8381.000, 34201.000
70.000, 1.000, 70.000, 100.000, 17518.000, 8304.000, 34223.000
70.000, 1.000, 70.000, 200.000, 17213.000, 7454.000, 34528.000
70.000, 1.000, 70.000, 700.000, 15717.000, 4898.000, 36024.000
70.000, 1.000, 75.000, 1.000, 17462.000, 8445.000, 34279.000
70.000, 1.000, 75.000, 10.000, 17462.000, 8443.000, 34279.000
70.000, 1.000, 75.000, 20.000, 17458.000, 8396.000, 34283.000
70.000, 1.000, 75.000, 30.000, 17453.000, 8345.000, 34288.000
70.000, 1.000, 75.000, 40.000, 17449.000, 8288.000, 34292.000
70.000, 1.000, 75.000, 50.000, 17443.000, 8198.000, 34298.000
70.000, 1.000, 75.000, 60.000, 17434.000, 8103.000, 34307.000
70.000, 1.000, 75.000, 70.000, 17422.000, 8028.000, 34319.000
70.000, 1.000, 75.000, 75.000, 17415.000, 7999.000, 34326.000
70.000, 1.000, 75.000, 80.000, 17404.000, 7956.000, 34337.000
70.000, 1.000, 75.000, 85.000, 17398.000, 7925.000, 34343.000
70.000, 1.000, 75.000, 90.000, 17385.000, 7891.000, 34356.000
70.000, 1.000, 75.000, 100.000, 17366.000, 7824.000, 34375.000
70.000, 1.000, 75.000, 200.000, 17073.000, 7069.000, 34668.000
70.000, 1.000, 75.000, 700.000, 15628.000, 4685.000, 36113.000
70.000, 1.000, 80.000, 1.000, 17203.000, 7779.000, 34538.000
70.000, 1.000, 80.000, 10.000, 17203.000, 7778.000, 34538.000
70.000, 1.000, 80.000, 20.000, 17200.000, 7743.000, 34541.000
70.000, 1.000, 80.000, 30.000, 17195.000, 7701.000, 34546.000
70.000, 1.000, 80.000, 40.000, 17192.000, 7658.000, 34549.000
70.000, 1.000, 80.000, 50.000, 17187.000, 7584.000, 34554.000
70.000, 1.000, 80.000, 60.000, 17179.000, 7506.000, 34562.000
70.000, 1.000, 80.000, 70.000, 17168.000, 7441.000, 34573.000
70.000, 1.000, 80.000, 75.000, 17163.000, 7415.000, 34578.000
