R_i_min,beta_legs,model_confidence_threshold,TCS_i_h_threshold,suspicious_frame_score_threshold,TP_suspicious_features,FP_suspicious_features,FN_suspicious_features,TP_suspicious_predictions,FP_suspicious_predictions,FN_suspicious_predictions,TP_suspicious_features_and_predictions,FP_suspicious_features_and_predictions,FN_suspicious_features_and_predictions,TP_suspicious_MC,FP_suspicious_MC,FN_suspicious_MC
70.000, 1.000, 95.000, 100.000, 10.000, 5121.000, 414.000, 3817.000, 1664.000, 0.000, 7274.000, 5885.000, 414.000, 3053.000, 7932.000, 1556.000, 1006.000
70.000, 1.000, 95.000, 100.000, 50.000, 5040.000, 411.000, 3898.000, 1661.000, 0.000, 7277.000, 5812.000, 411.000, 3126.000, 7932.000, 1556.000, 1006.000
70.000, 1.000, 95.000, 100.000, 100.000, 4881.000, 399.000, 4057.000, 1643.000, 0.000, 7295.000, 5668.000, 399.000, 3270.000, 7932.000, 1556.000, 1006.000
70.000, 1.000, 99.000, 1.000, 1.000, 6688.000, 341.000, 2878.000, 639.000, 0.000, 8927.000, 7009.000, 341.000, 2557.000, 3046.000, 132.000, 6520.000
70.000, 1.000, 99.000, 1.000, 10.000, 6684.000, 340.000, 2882.000, 639.000, 0.000, 8927.000, 7005.000, 340.000, 2561.000, 3046.000, 132.000, 6520.000
70.000, 1.000, 99.000, 1.000, 50.000, 6619.000, 338.000, 2947.000, 639.000, 0.000, 8927.000, 6940.000, 338.000, 2626.000, 3046.000, 132.000, 6520.000
70.000, 1.000, 99.000, 1.000, 100.000, 6502.000, 326.000, 3064.000, 638.000, 0.000, 8928.000, 6824.000, 326.000, 2742.000, 3046.000, 132.000, 6520.000
70.000, 1.000, 100.000, 1.000, 1.000, 10183.000, 98.000, 1692.000, 64.000, 0.000, 11811.000, 10222.000, 98.000, 1653.000, 0.000, 0.000, 11875.000
70.000, 1.000, 100.000, 1.000, 10.000, 10181.000, 98.000, 1694.000, 64.000, 0.000, 11811.000, 10220.000, 98.000, 1655.000, 0.000, 0.000, 11875.000
70.000, 1.000, 100.000, 1.000, 50.000, 10138.000, 97.000, 1737.000, 64.000, 0.000, 11811.000, 10177.000, 97.000, 1698.000, 0.000, 0.000, 11875.000
70.000, 1.000, 100.000, 1.000, 100.000, 10063.000, 94.000, 1812.000, 64.000, 0.000, 11811.000, 10102.000, 94.000, 1773.000, 0.000, 0.000, 11875.000
